@relation positionVariance

@attribute variance NUMERIC
@attribute grade {1,2,3,4,5,6,7,8}

@data
0.22857142857142856, 1
0.6666666666666666, 1
0.5714285714285714, 1
0.42105263157894735, 1
0.5, 1
0.5555555555555556, 1
0.8954248366013072, 2
0.5084745762711864, 2
0.6041666666666666, 2
0.42857142857142855, 2
0.8108108108108109, 2
0.4411764705882353, 2
0.44642857142857145, 2
0.48148148148148145, 2
0.5977011494252874, 2
0.6, 2
0.6176470588235294, 2
0.34285714285714286, 2
0.8108108108108109, 2
0.7666666666666667, 2
0.6888888888888889, 2
0.7868852459016393, 2
0.7857142857142857, 2
0.6666666666666666, 2
0.9032258064516129, 2
0.9010989010989011, 2
0.6027397260273972, 3
0.7011494252873564, 3
0.5384615384615384, 3
0.5901639344262295, 3
0.509090909090909, 3
0.9705882352941176, 3
0.5964912280701754, 3
0.46078431372549017, 3
0.56, 3
0.3835616438356164, 3
0.5874125874125874, 3
0.4779874213836478, 3
0.6126126126126126, 3
0.46153846153846156, 3
0.875, 3
0.5454545454545454, 3
0.5384615384615384, 3
0.45161290322580644, 3
0.72, 3
0.8888888888888888, 3
0.7283950617283951, 3
1.0350877192982457, 3
0.6304347826086957, 3
0.7419354838709677, 3
0.9775280898876404, 3
0.9285714285714286, 3
0.7397260273972602, 3
0.7241379310344828, 3
0.5555555555555556, 3
0.6133333333333333, 3
0.9333333333333333, 3
0.6643835616438356, 3
0.7777777777777778, 3
0.7252747252747253, 3
0.9150943396226415, 3
1.2619047619047619, 3
1.2857142857142858, 3
0.7821782178217822, 3
1.1954887218045114, 4
0.9558011049723757, 4
0.9647058823529412, 4
1.034013605442177, 4
0.5102040816326531, 4
0.8780487804878049, 4
1.3846153846153846, 4
0.6586538461538461, 4
1.346938775510204, 4
0.7471264367816092, 4
1.3, 4
1.5696202531645569, 4
1.2520325203252032, 4
1.2777777777777777, 4
1.34375, 4
0.5897435897435898, 4
1.1316146540027137, 5
1.0515021459227467, 5
1.4910714285714286, 5
0.9715762273901809, 5
1.0093457943925233, 5
1.049808429118774, 5
1.0, 5
0.8909090909090909, 5
1.552, 5
1.3636363636363635, 5
0.6940298507462687, 5
1.6115107913669064, 5
1.0085470085470085, 5
1.328, 5
1.311926605504587, 5
1.0326340326340326, 6
0.7931726907630522, 6
1.0108108108108107, 6
0.97678916827853, 6
1.052863436123348, 6
1.2935779816513762, 6
1.0590339892665475, 6
1.2648809523809523, 6
1.1875, 6
1.3258426966292134, 6
1.2571428571428571, 6
1.4069148936170213, 6
1.2985074626865671, 6
1.2695652173913043, 6
0.8153846153846154, 6
1.0343347639484979, 6
0.9144144144144144, 6
0.9714285714285714, 6
1.2520325203252032, 6
1.0971922246220303, 6
1.0419580419580419, 6
1.0543933054393306, 6
1.1440677966101696, 6
1.234159779614325, 6
0.8095238095238095, 6
0.9232505643340858, 6
1.224264705882353, 6
0.9090909090909091, 6
0.9676674364896074, 7
1.2583518930957684, 7
1.2716236722306524, 7
1.1694444444444445, 7
1.1538461538461537, 7
1.2640949554896141, 7
1.1875, 7
1.0555555555555556, 7
1.164490861618799, 7
1.2958435207823962, 7
1.3059125964010283, 7
1.1879699248120301, 7
1.2154696132596685, 7
1.3361344537815125, 7
1.0669456066945606, 7
1.0488721804511278, 7
1.1900452488687783, 7
0.9696132596685083, 7
1.1613491340018232, 7
1.1125541125541125, 8
1.091503267973856, 8
1.1953216374269007, 8
1.2399299474605954, 8
0.9307282415630551, 8
1.2, 8
1.1887034659820281, 8
0.9950980392156863, 8
1.2318059299191375, 8
0.762550881953867, 8
