@relation chordStretch

@attribute zero NUMERIC
@attribute one NUMERIC
@attribute two NUMERIC
@attribute three NUMERIC
@attribute four NUMERIC
@attribute five NUMERIC
@attribute six NUMERIC
@attribute grade {1,2,3,4,5,6,7,8}

@data
0.02857142857142857, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1
0.0, 0.047619047619047616, 0.0, 0.0, 0.0, 0.0, 0.0, 1
0.0, 0.047619047619047616, 0.0, 0.0, 0.0, 0.0, 0.0, 1
0.0, 0.09523809523809523, 0.0, 0.0, 0.0, 0.0, 0.0, 1
0.02702702702702703, 0.13513513513513514, 0.02702702702702703, 0.0, 0.0, 0.0, 0.0, 2
0.14634146341463414, 0.24390243902439024, 0.04878048780487805, 0.0, 0.0, 0.0, 0.0, 2
0.09090909090909091, 0.045454545454545456, 0.0, 0.0, 0.0, 0.0, 0.0, 2
0.1111111111111111, 0.05555555555555555, 0.0, 0.0, 0.0, 0.0, 0.0, 2
0.09009009009009009, 0.07207207207207207, 0.009009009009009009, 0.0, 0.0, 0.0, 0.0, 3
0.047619047619047616, 0.08333333333333333, 0.08333333333333333, 0.011904761904761904, 0.0, 0.0, 0.0, 3
0.10666666666666667, 0.22666666666666666, 0.08, 0.0, 0.0, 0.0, 0.0, 3
0.08823529411764706, 0.08823529411764706, 0.058823529411764705, 0.0, 0.0, 0.0, 0.0, 3
0.034013605442176874, 0.02040816326530612, 0.023809523809523808, 0.0, 0.0, 0.0, 0.0, 3
0.23333333333333334, 0.23333333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 3
0.03636363636363636, 0.14545454545454545, 0.0, 0.0, 0.0, 0.0, 0.0, 3
0.11320754716981132, 0.2641509433962264, 0.0, 0.0, 0.0, 0.0, 0.0, 3
0.025, 0.025, 0.058333333333333334, 0.0, 0.0, 0.0, 0.0, 3
0.02054794520547945, 0.0547945205479452, 0.04794520547945205, 0.00684931506849315, 0.0, 0.0, 0.0, 3
0.16, 0.52, 0.12, 0.0, 0.0, 0.0, 0.0, 3
0.040293040293040296, 0.07692307692307693, 0.014652014652014652, 0.0, 0.0, 0.0, 0.0, 3
0.0, 0.3488372093023256, 0.09302325581395349, 0.0, 0.0, 0.0, 0.0, 3
0.02358490566037736, 0.04245283018867924, 0.10849056603773585, 0.0, 0.0, 0.0, 0.0, 3
0.0594059405940594, 0.27722772277227725, 0.07920792079207921, 0.0297029702970297, 0.0, 0.0, 0.0, 3
0.14035087719298245, 0.19298245614035087, 0.0, 0.0, 0.0, 0.0, 0.0, 3
0.0, 0.15, 0.075, 0.0, 0.0, 0.0, 0.0, 3
0.0, 0.02564102564102564, 0.0, 0.0, 0.0, 0.0, 0.0, 3
0.0, 0.045454545454545456, 0.056818181818181816, 0.0, 0.0, 0.0, 0.0, 3
0.11382113821138211, 0.008130081300813009, 0.024390243902439025, 0.032520325203252036, 0.0, 0.0, 0.0, 4
0.041666666666666664, 0.027777777777777776, 0.2361111111111111, 0.027777777777777776, 0.0, 0.0, 0.0, 4
0.08333333333333333, 0.18333333333333332, 0.03333333333333333, 0.016666666666666666, 0.05, 0.0, 0.0, 4
0.0782312925170068, 0.11564625850340136, 0.1054421768707483, 0.027210884353741496, 0.006802721088435374, 0.0, 0.0, 4
